,TotPs,AccLB,InAccLB,AccSP,InAccSP
0,42,3,1,33,5
1,54,3,6,42,3
2,34,1.2,0.5,27.2,5.2
3,39,1,-,33.5,4.5
4,21.2,0.1,0.1,18.9,2.1
5,15.1,0.1,0.1,9.4,5.6
6,37.9,1.8,1.2,29.8,5.2
7,40.5,1.4,0.5,32.9,5.6
8,48.8,1.6,0.8,41.3,5
9,76.9,1.5,0.8,68.5,6.2
10,25,0.4,0.2,20.6,3.9
11,24.5,1.4,0.6,17.8,4.7
12,36.8,1,1.9,27.7,6.2
13,33.6,0.8,0.7,28.1,4.1
14,47.3,2.8,1.8,38,4.8
15,55.2,2.3,0.6,48.6,3.7
16,16.5,0.1,0.2,12.8,3.5
17,30.1,1.7,1,22.7,4.8
18,35.1,0.5,0.3,30.6,3.7
19,27.8,1.3,0.7,21.3,4.5
20,48.7,1.7,1.3,40.2,5.5
21,38.5,1.4,0.4,33.9,2.8
22,26.5,7.5,13.5,5.5,-
23,63,3.3,2,49.6,8.1
24,33.7,2.2,2.8,26.8,1.9
25,46.3,5.7,9.3,30.8,0.6
26,34.9,1,0.8,27.4,5.7
27,52.5,0.6,0.8,45.3,5.7
28,17.7,0.6,0.7,12.7,3.8
29,63.6,3.5,4,51.5,4.6
30,97.2,1.8,1.3,88.1,5.9
31,20.8,0.8,0.3,13.6,6.1
32,28.7,0.5,0.3,24.2,3.8
33,37,1,0.5,30.6,5
34,46.7,1.5,1.8,38,5.5
35,63.7,2.7,3.8,52.2,5.2
36,17,0.3,0.3,12.2,4.2
37,39.1,0.9,0.9,32.1,5.1
38,65.3,5.5,4.5,52,3.3
39,46.1,2.6,1.3,37.6,4.6
40,31.8,5.8,10.4,15.3,0.4
41,45.2,4.1,1.1,35.9,4.1
42,21.4,0.9,0.7,15.7,4
43,20.9,0.3,0.1,17,3.4
44,38.7,1.4,0.9,31.3,5.1
45,48.7,1.3,1.8,39.3,6.3
46,80.6,5.2,0.9,70.5,4
47,47.3,1.2,0.7,41.8,3.6
48,42.9,3,2.7,31.2,6.1
49,26.4,0.8,0.3,23.1,2.3
50,12.5,-,0.1,10.1,2.3
51,67,3.2,3.1,57.3,3.5
52,29.8,0.7,1.1,21.8,6.1
53,47.9,2.5,3.9,38.8,2.8
54,48.1,1.1,1.2,41.5,4.4
55,30.5,8,14.8,7.7,0.1
56,36,3,6.3,25.7,1
57,54.1,2.2,1.3,45.7,5
58,55.6,1.3,2.8,46.8,4.7
59,35.9,1.1,0.6,28.5,5.7
60,49.5,2.1,4.5,39,3.9
61,56.7,1.7,2.8,49.3,2.9
62,41.6,1.9,1.8,32,5.8
63,32.2,0.5,0.5,27.7,3.5
64,21.8,5,8.6,8.2,-
65,82.7,4.2,1.9,74.2,2.3
66,51.3,2.3,3.3,42,3.6
67,27.6,4.7,5.7,16.7,0.5
68,35.5,2.2,2.3,27,4
69,66.1,2.8,2.6,57,3.8
70,26.1,0.6,1,21.1,3.4
71,53.8,2.4,0.7,46.7,3.9
72,33.9,2.2,1.5,24.7,5.5
73,37.4,1.1,2.8,29.1,4.4
74,35.1,0.4,0.1,32.4,2.1
75,41.1,2.4,2,34.2,2.5
76,69.4,1.4,1.6,64.4,2
77,23.2,4.4,7.4,11.3,0.2
78,25,5.7,9.1,10.1,0.1
79,25.6,0.3,0.4,20.9,4
80,34.5,1.1,1.1,27.4,4.9
81,40,1.9,0.5,33,4.6
82,40.2,2.2,1.5,31.8,4.7
83,26.8,3.8,7,15.8,0.2
84,78.4,4,3,67.6,3.9
85,40.8,1.7,1.4,33.9,3.9
86,41.5,1.5,1.9,34.4,3.7
87,21.1,0.4,1,16.4,3.3
88,17.4,0.5,0.5,12.2,4.3
89,16,1.7,0.7,10.7,3
90,30.2,2.4,1.6,20.8,5.5
91,48.1,1.3,1,39.1,6.6
92,22.4,4,7,11.2,0.2
93,27.8,0.5,0.5,22.4,4.4
94,19.5,0.6,0.9,13,4.9
95,68.1,1.9,0.8,61.6,3.8
96,39.1,1.5,3,29.3,5.4
97,38.2,1.7,2.4,31.1,3
98,34.8,5.5,8.1,20.7,0.5
99,10.3,1,-,6,3.3
100,26.1,0.8,0.4,22.2,2.6
101,95.8,2.7,1.9,87.5,3.7
102,25.1,1.4,2.7,17.4,3.6
103,10.3,0.1,-,8.3,2
104,51.5,1.7,2.9,42.3,4.6
105,32,0.6,0.7,27.9,2.9
106,85.9,2.9,1.4,78.5,3.1
107,16.8,0.3,0.1,12.5,3.9
108,37,0.7,1.3,30.4,4.6
109,37.8,1,0.8,32.3,3.7
110,50.4,4.4,3.6,39.5,2.9
111,18,0.6,0.1,13.9,3.3
112,48.4,4.4,2.3,37.1,4.7
113,46.6,3.9,3,33.9,5.7
114,31.2,3.8,4,23.1,0.3
115,54.3,1.8,2.9,47,2.6
116,50.7,1.7,1.2,41.3,6.4
117,50.9,4.9,4.8,37.5,3.8
118,74.6,2.8,0.8,69.2,1.8
119,21.1,0.8,0.8,15.6,3.9
120,53.7,2.7,2.1,44.9,4
121,45.2,2.2,3.2,34.2,5.5
122,24.5,0.5,0.3,20.2,3.5
123,17.2,0.2,0.3,14,2.8
124,32,0.7,0.9,25.4,5
125,30,7.3,6.1,16.3,0.3
126,44,4,5.5,31.8,2.7
127,35.7,2.6,1.5,27,4.6
128,47.7,2.5,3.4,39.4,2.4
129,35.5,2.9,2.8,26.8,2.9
130,71.2,2.4,2,63.9,2.9
131,39.6,1.6,1.7,31.4,4.9
132,27.8,4.7,6.3,16.5,0.2
133,52.9,2.3,2.1,46.1,2.4
134,44.7,6.5,3.4,27.8,7
